num_implements;num_tasks;num_vehicles;seed;full;time_horizon;num_periods;probabilityTA;probabilityTD;probabilityVA;probabilityVD;probabilityIA;probabilityID;t;toptimization;Obj;PenaltyCost;StaticCost;DistanciaTotal;Distancia_list;DesvDistancia;TaskDone_list;DesvTaskDone
10;20;10;1;True;2000;2;0;0;0;0;0;0;46.20794057846069;0.12758207321166992;21234.179901090363;18833.6941309601;1307.3287914847904;1093.14;[111.97, 111.97, 85.41, 111.97, 111.97, 111.97, 111.97, 111.97, 111.97, 111.97];26.560000000000002;[2, 2, 1, 1, 4, 3, 2, 1, 2, 2];3
10;20;10;2;True;2000;2;0;0;0;0;0;0;44.529963970184326;0.08323526382446289;19990.73557674327;17730.40329514006;1188.2936543138742;1072.0300000000002;[80.32, 110.19, 110.19, 110.19, 110.19, 110.19, 110.19, 110.19, 110.19, 110.19];29.870000000000005;[1, 1, 1, 4, 2, 2, 3, 2, 1, 3];3
10;20;10;3;True;2000;2;0;0;0;0;0;0;53.45686626434326;0.07184982299804688;19025.39083175197;16687.200299432567;1145.2558371515217;1192.9;[102.67, 94.62, 127.42, 127.42, 127.42, 103.67, 127.42, 127.42, 127.42, 127.42];32.8;[1, 1, 2, 4, 3, 2, 2, 3, 2];3
10;20;10;4;True;2000;2;0;0;0;0;0;0;44.79536771774292;0.08124971389770508;19458.5028899461;17460.78953408628;976.6777068809779;1021.0799999999999;[80.3, 104.81, 102.3, 104.81, 104.81, 104.81, 104.81, 104.81, 104.81, 104.81];24.510000000000005;[2, 3, 1, 1, 1, 3, 2, 2, 1, 4];3
10;20;10;5;True;2000;2;0;0;0;0;0;0;56.415565967559814;0.09102797508239746;19269.78984555964;16920.879258193574;1148.031141687374;1200.91;[62.1, 132.09, 124.09, 129.09, 121.09, 132.09, 132.09, 132.09, 104.09, 132.09];69.99000000000001;[1, 2, 4, 1, 1, 2, 2, 1, 4, 2];3
10;20;10;6;True;2000;2;0;0;0;0;0;0;55.85164833068848;0.08176183700561523;20175.13219298365;17933.53166599876;1048.1900749440013;1193.3999999999999;[101.57, 82.57, 133.02, 133.02, 104.57, 106.57, 133.02, 133.02, 133.02, 133.02];50.45000000000002;[1, 1, 4, 1, 2, 1, 2, 3, 2, 3];3
10;30;10;1;True;2000;2;0;0;0;0;0;0;75.41055011749268;0.17291545867919922;30081.000967598557;26736.93637993377;1803.294765791797;1540.77;[155.77, 138.84, 155.77, 155.77, 155.77, 155.77, 155.77, 155.77, 155.77, 155.77];16.930000000000007;[4, 3, 3, 2, 4, 4, 3, 2, 2, 3];2
10;30;10;2;True;2000;2;0;0;0;0;0;0;85.45273113250732;0.17836689949035645;30510.978795865485;26923.581602898685;1938.7694052699044;1648.6000000000001;[170.96, 170.96, 170.96, 170.96, 170.96, 170.96, 170.96, 128.96, 151.96, 170.96];42.0;[5, 2, 2, 4, 2, 3, 3, 2, 3, 4];3
10;30;10;3;True;2000;2;0;0;0;0;0;0;112.06821823120117;0.23090052604675293;29722.82792058504;26445.1147705835;1798.9713913915073;1478.7099999999998;[125.81, 125.81, 166.28, 154.81, 166.28, 103.07, 166.28, 137.81, 166.28, 166.28];63.21000000000001;[2, 1, 3, 1, 5, 3, 5, 2, 3, 5];4
10;30;10;4;True;2000;2;0;0;0;0;0;0;146.47448635101318;0.37210655212402344;35711.789409872465;32773.48413178241;1593.0916938265168;1345.2499999999998;[118.64, 136.29, 136.29, 136.29, 136.29, 136.29, 136.29, 136.29, 136.29, 136.29];17.64999999999999;[2, 4, 3, 1, 2, 4, 4, 2, 3, 5];4
10;30;10;5;True;2000;2;0;0;0;0;0;0;133.39835357666016;0.44884490966796875;32899.89319329979;29987.806281978686;1728.9887279707655;1183.1000000000001;[118.51, 118.51, 118.51, 118.51, 116.51, 118.51, 118.51, 118.51, 118.51, 118.51];2.0;[1, 5, 5, 3, 1, 1, 4, 2, 4, 4];4
10;30;10;6;True;2000;2;0;0;0;0;0;0;110.58269882202148;0.3853743076324463;33429.812306404245;30893.880426512704;1533.151822803885;1002.8000000000001;[102.48, 80.48, 102.48, 102.48, 102.48, 102.48, 102.48, 102.48, 102.48, 102.48];22.0;[4, 2, 2, 3, 5, 2, 2, 4, 2, 4];3
10;40;10;1;True;2000;2;0;0;0;0;0;0;185.34080696105957;0.5723421573638916;46534.08249462685;42620.54253684202;2366.019680217367;1547.5;[154.75, 154.75, 154.75, 154.75, 154.75, 154.75, 154.75, 154.75, 154.75, 154.75];0.0;[3, 5, 4, 1, 6, 4, 5, 3, 5, 4];5
