num_implements;num_tasks;num_vehicles;seed;full;time_horizon;num_periods;probabilityTA;probabilityTD;probabilityVA;probabilityVD;probabilityIA;probabilityID;t;toptimization;Obj;PenaltyCost;StaticCost;DistanciaTotal;Distancia_list;DesvDistancia;TaskDone_list;DesvTaskDone;TotalTasksDone;TasksCompleted
10;10;10;1;True;2000;1;0;0;0;0;0;0;39.44002842903137;0.09545326232910156;31667.61106866235;30223.067707228984;592.9216499517293;851.65;[88.26, 94.26, 48.73, 94.26, 94.26, 94.26, 88.26, 94.26, 94.26, 60.84];45.53000000000001;[1, 3, 2, 2, 2];2;10;True
10;10;10;2;True;2000;1;0;0;0;0;0;0;68.35314750671387;0.07866811752319336;34987.44632409623;33517.60008052268;420.51502253149323;1049.3;[54.43, 129.43, 92.43, 112.43, 66.43, 173.43, 120.43, 42.43, 84.43, 173.43];131.0;[1, 3, 1, 3, 1, 1];2;10;True
10;10;10;3;True;2000;1;0;0;0;0;0;0;36.58427047729492;0.0850679874420166;24754.98668328182;23454.677543570004;489.5384816731991;810.8;[76.38, 75.38, 89.38, 76.38, 89.38, 46.38, 89.38, 89.38, 89.38, 89.38];42.99999999999999;[1, 1, 2, 1, 1, 1, 1, 2];1;10;True
10;10;10;4;True;2000;1;0;0;0;0;0;0;47.16098976135254;0.08996319770812988;33189.0643932922;31655.029823838027;514.984217161308;1019.0599999999998;[60.66, 121.66, 39.12, 121.66, 113.66, 121.66, 121.66, 112.66, 84.66, 121.66];82.53999999999999;[2, 1, 3, 1, 1, 2];2;10;True
10;10;10;5;True;2000;1;0;0;0;0;0;0;46.288918256759644;0.0798788070678711;33922.25277977707;32588.227613481125;523.1966267996149;810.8000000000001;[63.58, 92.58, 62.58, 114.58, 28.58, 111.58, 114.58, 54.58, 83.58, 84.58];86.0;[1, 1, 1, 2, 3, 2];2;10;True
10;10;10;6;True;2000;1;0;0;0;0;0;0;31.034313201904297;0.09200215339660645;21142.36441661167;19970.72062643501;458.12041389743905;713.56;[75.67, 41.53, 75.67, 75.67, 75.67, 75.67, 75.67, 75.67, 75.67, 66.67];34.14;[2, 1, 1, 2, 1, 1, 2];1;10;True
20;10;20;1;True;2000;1;0;0;0;0;0;0;56.15077090263367;0.2243330478668213;26919.494440200844;24882.126216512144;582.7386461257967;1454.6199999999997;[125.1, 32.44, 37.44, 125.1, 119.1, 51.44, 53.44, 125.1, 62.44, 45.44, 14.38, 61.44, 115.1, 49.44, 67.44, 87.1, 22.38, 73.1, 70.1, 117.1];110.72;[1, 1, 2, 2, 1, 1, 2];1;10;True
20;10;20;2;True;2000;1;0;0;0;0;0;0;42.938233613967896;0.22621750831604004;18081.48611588429;16570.58312094073;409.7608150877726;1101.2;[34.11, 94.11, 79.11, 89.11, 35.11, 94.11, 35.11, 24.11, 23.11, 94.11, 28.11, 94.11, 28.11, 51.11, 72.11, 23.11, 17.11, 64.11, 94.11, 27.11];77.0;[2, 1, 1, 1, 1, 1, 1, 2];1;10;True
20;10;20;3;True;2000;1;0;0;0;0;0;0;44.09403204917908;0.1932840347290039;27012.120943487123;25332.159758055102;490.2055280217637;1189.7799999999997;[62.77, 63.77, 94.11, 94.11, 86.11, 32.77, 30.77, 59.77, 94.11, 94.11, 17.77, 40.77, 94.11, 57.77, 27.77, 45.77, 29.77, 38.77, 30.77, 94.11];76.34;[1, 1, 1, 1, 2, 1, 1, 2];1;10;True
20;10;20;4;True;2000;1;0;0;0;0;0;0;52.464972496032715;0.2493138313293457;32026.536159796575;30178.026345523074;490.09678622489486;1358.42;[22.88, 105.0, 16.9, 66.0, 84.0, 52.0, 70.0, 47.0, 20.88, 107.0, 18.88, 79.0, 21.88, 98.0, 115.0, 115.0, 68.0, 115.0, 90.0, 46.0];98.1;[1, 1, 1, 1, 3, 1, 1, 1];2;10;True
